SmartCar Status Information,CarNum,TireFL,TireFR,TireBL,TireBR,LightFL,LightFR,LightBL,LightBR,EngineInfo,BreakInfo,BatteryInfo
20230102000000,N0002,96,80,89,93,1,1,1,1,A,B,91
20230102000300,L0001,71,97,89,84,1,1,1,1,A,A,99
20230102000004,N0002,72,82,70,95,1,1,1,1,A,A,85
20230102000304,L0001,92,83,75,71,1,1,1,1,A,B,85
20230102000008,N0002,88,93,98,74,1,1,1,1,B,B,89
20230102000308,L0001,84,72,90,95,1,1,1,1,A,A,96
20230102000012,N0002,80,99,93,90,1,1,1,1,A,A,100
20230102000312,L0001,80,86,94,84,1,1,1,1,A,A,83
20230102000316,L0001,88,76,96,91,1,1,1,1,A,A,95
20230102000016,N0002,80,85,96,94,1,1,1,1,A,B,89
20230102000020,N0002,82,95,82,99,1,1,1,1,A,B,86
20230102000320,L0001,70,97,95,82,1,1,1,1,A,A,99
20230102000324,L0001,90,73,82,91,1,1,1,1,B,A,93
20230102000024,N0002,92,87,94,80,1,1,1,1,A,B,81
20230102000028,N0002,99,91,71,89,1,1,1,1,A,A,84
20230102000328,L0001,76,94,84,85,1,1,1,1,B,A,88
20230102000032,N0002,90,72,97,76,1,1,1,1,A,A,88
20230102000036,N0002,80,94,99,96,1,1,1,1,A,B,87
20230102000332,L0001,78,86,82,85,1,1,1,1,B,A,91
20230102000336,L0001,94,87,75,97,1,1,1,1,A,A,100
20230102000040,N0002,72,92,70,92,1,1,1,1,A,B,99
20230102000340,L0001,100,98,83,91,1,1,1,1,A,B,71
20230102000044,N0002,75,97,82,82,1,1,1,1,A,A,79
20230102000344,L0001,91,99,80,76,1,1,1,1,A,B,89
20230102000048,N0002,78,91,84,83,1,1,1,1,A,A,51
20230102000348,L0001,70,83,100,89,1,1,1,1,A,A,91
20230102000052,N0002,96,93,97,80,1,1,1,1,A,A,87
20230102000352,L0001,87,75,77,87,1,1,1,1,A,A,99
20230102000356,L0001,93,98,90,76,1,1,1,1,A,A,73
20230102000056,N0002,70,87,89,91,1,1,1,1,A,A,91
20230102000400,L0001,90,95,76,80,1,1,1,1,A,B,59
20230102000100,N0002,96,72,85,74,1,1,1,1,A,A,98
20230102000404,L0001,80,88,85,84,1,1,1,1,B,A,65
20230102000408,L0001,73,100,81,90,1,1,1,1,A,A,87
20230102000104,N0002,80,97,88,80,1,1,1,1,A,A,89
20230102000412,L0001,100,85,97,89,1,1,1,1,A,A,94
20230102000108,N0002,94,97,93,75,1,1,1,1,A,B,85
20230102000416,L0001,80,92,91,88,1,1,1,1,A,A,86
20230102000420,L0001,82,97,73,71,1,1,1,1,B,B,93
20230102000112,N0002,84,80,95,97,1,1,1,1,A,B,90
20230102000424,L0001,97,87,90,85,1,1,1,1,A,A,84
20230102000116,N0002,91,96,71,87,1,1,1,1,A,A,89
20230102000428,L0001,91,82,72,85,1,1,1,1,A,B,68
20230102000432,L0001,97,96,90,89,1,1,1,1,B,A,57
20230102000120,N0002,92,70,98,95,1,1,1,1,A,A,90
20230102000436,L0001,93,96,93,85,1,1,1,1,B,A,85
20230102000440,L0001,79,92,91,100,1,1,1,1,A,A,88
20230102000124,N0002,93,81,90,80,1,1,1,1,A,A,86
20230102000444,L0001,88,77,70,80,1,1,1,1,B,A,94
20230102000128,N0002,85,76,95,95,1,1,1,1,A,B,93
20230102000448,L0001,83,88,83,85,1,1,1,1,A,A,87
20230102000132,N0002,74,87,73,100,1,1,1,1,B,A,81
20230102000452,L0001,100,92,72,100,1,1,1,1,A,A,100
20230102000136,N0002,99,73,70,96,1,1,1,1,B,A,95
20230102000456,L0001,76,70,84,94,1,1,1,1,B,A,81
20230102000140,N0002,100,73,84,86,1,1,1,1,B,A,82
20230102000500,L0001,86,85,100,96,1,1,1,1,A,A,97
20230102000144,N0002,75,81,74,81,1,1,1,1,B,B,87
20230102000504,L0001,83,86,75,90,1,1,1,1,A,A,84
20230102000148,N0002,97,82,98,73,1,1,1,1,A,A,97
20230102000152,N0002,80,87,100,96,1,1,1,1,A,A,97
20230102000156,N0002,96,98,80,80,1,1,1,1,A,A,100
20230102000508,L0001,81,88,91,74,1,1,1,1,A,A,99
20230102000200,N0002,97,82,99,70,1,1,1,1,A,A,94
20230102000512,L0001,74,97,77,88,1,1,1,1,A,A,76
20230102000204,N0002,86,95,84,97,1,1,1,1,A,A,81
20230102000516,L0001,91,73,83,100,1,1,1,1,A,A,89
20230102000208,N0002,93,93,80,71,1,1,1,1,A,A,93
20230102000520,L0001,89,91,72,96,1,1,1,1,A,B,89
20230102000212,N0002,80,93,93,97,1,1,1,1,A,A,89
20230102000524,L0001,72,84,74,85,1,1,1,1,A,A,60
20230102000528,L0001,96,100,72,88,1,1,1,1,A,B,89
20230102000532,L0001,84,96,86,92,1,1,1,1,A,A,82
20230102000216,N0002,91,84,92,98,1,1,1,1,B,A,94
20230102000536,L0001,96,90,84,96,1,1,1,1,B,A,75
20230102000220,N0002,75,84,71,89,1,1,1,1,A,A,100
20230102000224,N0002,94,79,84,87,1,1,1,1,B,B,81
20230102000228,N0002,82,91,82,99,1,1,1,1,B,A,81
20230102000232,N0002,100,85,72,93,1,1,1,1,A,A,88
20230102000540,L0001,89,86,82,93,1,1,1,1,A,A,87
20230102000236,N0002,95,82,92,100,1,1,1,1,B,A,99
20230102000544,L0001,93,96,81,85,1,1,1,1,A,B,99
20230102000240,N0002,81,95,95,75,1,1,1,1,B,A,87
20230102000548,L0001,76,98,78,86,1,1,1,1,A,A,80
20230102000244,N0002,79,80,91,80,1,1,1,1,A,A,94
20230102000552,L0001,92,78,97,98,1,1,1,1,A,A,88
20230102000248,N0002,85,93,79,95,1,1,1,1,A,A,80
20230102000556,L0001,82,83,91,96,1,1,1,1,A,A,83
20230102000252,N0002,92,88,99,77,1,1,1,1,A,A,85
20230102000600,L0001,94,77,92,84,1,1,1,1,A,A,91
20230102000256,N0002,77,95,97,83,1,1,1,1,A,A,92
20230102000604,L0001,80,89,75,91,1,1,1,1,B,A,53
20230102000300,N0002,82,83,85,79,1,1,1,1,A,A,82
20230102000304,N0002,80,80,99,93,1,1,1,1,A,A,85
20230102000608,L0001,80,95,98,100,1,1,1,1,A,A,89
20230102000308,N0002,99,84,71,91,1,1,1,1,A,A,97
20230102000612,L0001,74,82,82,95,1,1,1,1,A,A,83
20230102000312,N0002,81,91,100,85,1,1,1,1,A,A,89
20230102000616,L0001,99,80,75,90,1,1,1,1,A,A,99
20230102000316,N0002,78,96,74,84,1,1,1,1,A,A,52
20230102000620,L0001,83,90,77,85,1,1,1,1,A,A,97
20230102000320,N0002,80,95,73,96,1,1,1,1,A,A,95
20230102000624,L0001,100,85,86,97,1,1,1,1,A,A,100
20230102000324,N0002,73,99,86,74,1,1,1,1,A,A,80
20230102000628,L0001,80,98,85,98,1,1,1,1,A,B,87
20230102000328,N0002,93,98,83,92,1,1,1,1,A,A,82
20230102000632,L0001,96,93,88,72,1,1,1,1,A,A,86
20230102000332,N0002,87,99,89,86,1,1,1,1,A,A,80
20230102000636,L0001,87,99,91,74,1,1,1,1,B,A,83
20230102000336,N0002,97,70,79,74,1,1,1,1,A,A,95
20230102000640,L0001,79,75,72,91,1,1,1,1,A,B,72
20230102000340,N0002,89,82,89,71,1,1,1,1,A,A,98
20230102000644,L0001,90,83,99,84,1,1,1,1,A,A,72
20230102000344,N0002,82,87,86,83,1,1,1,1,A,A,50
20230102000648,L0001,90,70,78,76,1,1,1,1,A,A,91
20230102000348,N0002,86,91,83,76,1,1,1,1,A,A,97
20230102000652,L0001,99,99,80,79,1,1,1,1,A,A,97
20230102000352,N0002,99,90,83,100,1,1,1,1,A,A,92
20230102000656,L0001,100,95,85,83,1,1,1,1,A,A,83
20230102000356,N0002,91,89,87,71,1,1,1,1,B,B,98
20230102000700,L0001,85,88,94,86,1,1,1,1,A,A,91
20230102000400,N0002,100,83,97,80,1,1,1,1,A,A,87
20230102000704,L0001,87,87,90,100,1,1,1,1,A,A,93
20230102000404,N0002,86,89,97,78,1,1,1,1,A,A,84
20230102000408,N0002,70,83,80,99,1,1,1,1,A,A,99
20230102000412,N0002,71,97,90,96,1,1,1,1,B,B,81
20230102000708,L0001,88,96,99,71,1,1,1,1,A,B,96
20230102000712,L0001,96,88,87,80,1,1,1,1,A,A,62
20230102000716,L0001,97,88,82,81,1,1,1,1,A,A,83
20230102000720,L0001,90,93,74,81,1,1,1,1,B,A,100
20230102000724,L0001,98,89,84,91,1,1,1,1,A,A,92
20230102000416,N0002,91,78,73,88,1,1,1,1,A,A,85
20230102000728,L0001,88,86,91,77,1,1,1,1,B,A,95
20230102000420,N0002,93,91,83,85,1,1,1,1,B,B,84
20230102000424,N0002,80,87,97,82,1,1,1,1,A,A,99
20230102000732,L0001,93,79,81,85,1,1,1,1,A,A,87
20230102000428,N0002,72,95,76,71,1,1,1,1,A,A,84
20230102000736,L0001,95,90,87,95,1,1,1,1,A,A,87
20230102000432,N0002,87,96,100,96,1,1,1,1,A,A,82
20230102000740,L0001,93,93,94,84,1,1,1,1,A,A,93
20230102000436,N0002,94,72,96,86,1,1,1,1,A,B,99
20230102000744,L0001,78,96,72,95,1,1,1,1,A,A,59
20230102000440,N0002,87,98,85,88,1,1,1,1,A,A,94
20230102000748,L0001,89,97,98,85,1,1,1,1,B,A,94
20230102000444,N0002,90,95,79,76,1,1,1,1,A,A,94
20230102000752,L0001,92,97,98,85,1,1,1,1,A,A,83
20230102000448,N0002,84,91,80,80,1,1,1,1,A,A,100
20230102000756,L0001,87,95,80,92,1,1,1,1,A,B,89
20230102000452,N0002,80,87,86,94,1,1,1,1,A,A,60
20230102000456,N0002,85,88,92,93,1,1,1,1,A,A,70
20230102000800,L0001,80,71,84,86,1,1,1,1,A,A,51
20230102000500,N0002,80,98,90,82,1,1,1,1,A,A,91
20230102000804,L0001,75,86,95,96,1,1,1,1,A,A,81
20230102000504,N0002,72,78,87,88,1,1,1,1,A,A,98
20230102000808,L0001,97,87,87,96,1,1,1,1,A,A,94
20230102000812,L0001,84,72,94,100,1,1,1,1,A,A,92
20230102000816,L0001,95,97,83,88,1,1,1,1,A,A,78
20230102000508,N0002,71,72,92,84,1,1,1,1,A,B,84
20230102000820,L0001,86,85,76,96,1,1,1,1,A,B,89
20230102000512,N0002,92,84,80,96,1,1,1,1,A,A,93
20230102000824,L0001,78,72,94,70,1,1,1,1,A,A,91
20230102000516,N0002,97,85,77,83,1,1,1,1,A,A,100
20230102000828,L0001,89,86,80,81,1,1,1,1,B,A,90
20230102000520,N0002,75,80,95,87,1,1,1,1,A,A,86
20230102000832,L0001,87,87,87,97,1,1,1,1,A,A,83
20230102000836,L0001,72,82,89,97,1,1,1,1,A,A,84
20230102000840,L0001,82,84,83,81,1,1,1,1,A,A,99
20230102000844,L0001,81,99,85,97,1,1,1,1,A,A,100
20230102000848,L0001,99,98,97,96,1,1,1,1,A,A,97
20230102000852,L0001,71,94,91,79,1,1,1,1,B,A,80
20230102000524,N0002,81,78,84,82,1,1,1,1,A,A,89
20230102000528,N0002,77,88,82,76,1,1,1,1,A,B,91
SmartCar Status Information,CarNum,TireFL,TireFR,TireBL,TireBR,LightFL,LightFR,LightBL,LightBR,EngineInfo,BreakInfo,BatteryInfo
20230102000856,L0001,96,84,82,77,1,1,1,1,A,B,97
20230102000532,N0002,90,87,71,80,1,1,1,1,A,A,99
20230102000900,L0001,72,80,100,95,1,1,1,1,A,A,87
20230102000000,Y0003,79,98,72,89,1,1,1,1,A,A,90
20230102000904,L0001,83,80,90,86,1,1,1,1,A,A,84
20230102000536,N0002,91,73,87,83,1,1,1,1,A,A,91
20230102000004,Y0003,80,86,97,96,1,1,1,1,B,A,91
20230102000908,L0001,90,91,89,76,1,1,1,1,A,A,80
20230102000540,N0002,77,98,82,94,1,1,1,1,A,B,92
20230102000008,Y0003,80,85,94,81,1,1,1,1,A,A,91
20230102000912,L0001,79,97,92,85,1,1,1,1,B,A,87
20230102000544,N0002,96,73,94,71,1,1,1,1,B,B,86
20230102000012,Y0003,89,92,85,88,1,1,1,1,B,A,92
20230102000916,L0001,86,99,74,86,1,1,1,1,A,A,91
20230102000548,N0002,76,89,98,84,1,1,1,1,A,A,95
20230102000016,Y0003,84,91,99,85,1,1,1,1,B,A,100
20230102000920,L0001,84,93,91,83,1,1,1,1,A,A,79
20230102000552,N0002,95,100,94,82,1,1,1,1,A,A,74
20230102000020,Y0003,84,86,89,77,1,1,1,1,B,A,97
20230102000924,L0001,94,79,71,92,1,1,1,1,A,A,81
20230102000556,N0002,70,84,87,88,1,1,1,1,A,A,56
20230102000024,Y0003,94,81,71,94,1,1,1,1,B,A,92
20230102000928,L0001,79,93,89,92,1,1,1,1,A,A,88
20230102000600,N0002,85,99,86,87,1,1,1,1,A,A,92
20230102000932,L0001,96,92,81,93,1,1,1,1,A,B,89
20230102000028,Y0003,81,92,87,98,1,1,1,1,A,A,80
20230102000604,N0002,81,70,88,76,1,1,1,1,A,A,90
20230102000032,Y0003,93,97,94,87,1,1,1,1,A,A,93
20230102000608,N0002,99,80,98,91,1,1,1,1,A,A,84
20230102000036,Y0003,75,100,95,84,1,1,1,1,A,A,86
20230102000612,N0002,75,95,77,83,1,1,1,1,B,A,87
20230102000040,Y0003,82,86,74,92,1,1,1,1,B,B,90
20230102000936,L0001,85,88,83,90,1,1,1,1,A,A,88
20230102000616,N0002,87,96,83,70,1,1,1,1,B,A,96
20230102000044,Y0003,100,99,94,96,1,1,1,1,A,B,92
20230102000940,L0001,100,98,86,95,1,1,1,1,A,A,94
20230102000048,Y0003,87,84,87,99,1,1,1,1,A,A,85
20230102000620,N0002,77,87,74,73,1,1,1,1,A,B,88
20230102000944,L0001,88,80,99,82,1,1,1,1,A,A,84
20230102000052,Y0003,100,70,98,96,1,1,1,1,A,A,96
20230102000948,L0001,85,82,79,70,1,1,1,1,B,A,99
20230102000624,N0002,77,96,81,83,1,1,1,1,A,B,82
20230102000056,Y0003,92,81,81,79,1,1,1,1,A,A,73
20230102000100,Y0003,95,85,80,97,1,1,1,1,A,A,85
20230102000952,L0001,100,90,91,76,1,1,1,1,A,B,86
20230102000628,N0002,93,70,84,93,1,1,1,1,A,A,69
20230102000104,Y0003,80,81,92,86,1,1,1,1,A,A,86
20230102000956,L0001,75,72,100,92,1,1,1,1,A,A,90
20230102001000,L0001,96,85,94,87,1,1,1,1,A,A,80
20230102001004,L0001,75,80,78,95,1,1,1,1,A,A,97
20230102000632,N0002,93,81,76,75,1,1,1,1,A,A,90
20230102001008,L0001,95,84,84,95,1,1,1,1,A,A,100
20230102000108,Y0003,92,71,89,71,1,1,1,1,A,A,87
20230102001012,L0001,83,87,93,97,1,1,1,1,A,A,81
20230102000636,N0002,89,96,85,98,1,1,1,1,A,A,100
20230102000112,Y0003,93,89,82,92,1,1,1,1,A,A,100
20230102000640,N0002,85,95,95,98,1,1,1,1,A,B,83
20230102001016,L0001,89,88,100,80,1,1,1,1,A,B,62
20230102000644,N0002,99,80,88,91,1,1,1,1,A,A,96
20230102000116,Y0003,92,75,82,81,1,1,1,1,A,B,97
20230102001020,L0001,100,85,89,98,1,1,1,1,A,A,95
20230102000648,N0002,90,97,84,87,1,1,1,1,A,A,92
20230102000120,Y0003,76,100,92,82,1,1,1,1,A,A,90
20230102001024,L0001,81,96,85,95,1,1,1,1,B,B,90
20230102000652,N0002,93,90,72,82,1,1,1,1,A,B,56
20230102000124,Y0003,84,77,80,86,1,1,1,1,B,B,96
20230102001028,L0001,71,74,74,82,1,1,1,1,A,B,84
20230102000656,N0002,75,93,93,80,1,1,1,1,A,A,85
20230102000128,Y0003,99,97,89,77,1,1,1,1,A,A,86
20230102001032,L0001,91,82,92,99,1,1,1,1,B,A,85
20230102000700,N0002,83,80,79,82,1,1,1,1,A,A,96
20230102000132,Y0003,98,90,80,81,1,1,1,1,A,A,93
20230102001036,L0001,96,89,84,91,1,1,1,1,B,A,89
20230102000704,N0002,81,79,88,85,1,1,1,1,A,A,92
20230102000136,Y0003,90,77,95,91,1,1,1,1,B,B,100
20230102000708,N0002,97,82,86,82,1,1,1,1,B,A,99
20230102001040,L0001,95,93,77,89,1,1,1,1,A,A,99
20230102000140,Y0003,83,85,97,86,1,1,1,1,B,A,51
20230102000144,Y0003,80,80,70,99,1,1,1,1,B,A,83
20230102000712,N0002,99,93,93,96,1,1,1,1,A,A,94
20230102000148,Y0003,86,74,71,94,1,1,1,1,A,B,62
20230102001044,L0001,94,98,83,94,1,1,1,1,A,A,80
20230102000716,N0002,87,75,99,72,1,1,1,1,A,A,93
20230102000152,Y0003,76,95,98,82,1,1,1,1,A,A,88
20230102001048,L0001,94,86,96,92,1,1,1,1,A,B,74
20230102000720,N0002,98,80,83,92,1,1,1,1,B,A,80
20230102001052,L0001,72,80,100,92,1,1,1,1,B,A,90
20230102000724,N0002,71,83,80,84,1,1,1,1,A,A,83
20230102001056,L0001,88,72,72,89,1,1,1,1,A,A,99
20230102000728,N0002,77,89,99,95,1,1,1,1,A,A,93
20230102001100,L0001,83,80,97,100,1,1,1,1,A,B,97
20230102000156,Y0003,80,91,90,87,1,1,1,1,B,B,92
20230102000732,N0002,73,71,90,91,1,1,1,1,B,A,89
20230102001104,L0001,97,85,90,83,1,1,1,1,A,B,94
20230102001108,L0001,93,73,97,96,1,1,1,1,A,B,99
20230102000200,Y0003,99,84,71,89,1,1,1,1,A,A,87
20230102000736,N0002,90,95,77,84,1,1,1,1,A,A,81
20230102001112,L0001,99,99,81,88,1,1,1,1,A,A,99
20230102000740,N0002,80,80,79,81,1,1,1,1,A,A,87
20230102000204,Y0003,84,71,91,80,1,1,1,1,A,A,57
20230102000744,N0002,70,89,81,97,1,1,1,1,A,A,99
20230102000208,Y0003,100,98,75,86,1,1,1,1,B,A,62
20230102001116,L0001,79,93,94,74,1,1,1,1,A,B,85
20230102000212,Y0003,79,98,94,96,1,1,1,1,A,A,86
20230102000748,N0002,96,80,95,73,1,1,1,1,A,A,87
20230102000216,Y0003,78,80,81,77,1,1,1,1,A,A,85
20230102000752,N0002,80,82,85,98,1,1,1,1,A,A,87
20230102001120,L0001,90,99,74,97,1,1,1,1,A,A,92
20230102001124,L0001,70,94,99,82,1,1,1,1,A,A,84
20230102000756,N0002,90,100,94,91,1,1,1,1,A,A,84
20230102000220,Y0003,84,82,94,91,1,1,1,1,B,A,96
20230102001128,L0001,70,74,93,85,1,1,1,1,A,A,86
20230102000224,Y0003,94,75,85,77,1,1,1,1,A,A,86
20230102000800,N0002,86,87,95,77,1,1,1,1,A,A,84
20230102001132,L0001,85,80,70,90,1,1,1,1,A,A,93
20230102000804,N0002,85,89,72,85,1,1,1,1,A,A,91
20230102001136,L0001,91,85,82,98,1,1,1,1,A,A,67
20230102000228,Y0003,100,89,83,71,1,1,1,1,A,B,59
20230102000808,N0002,86,74,95,91,1,1,1,1,A,A,100
20230102001140,L0001,80,97,75,81,1,1,1,1,A,A,86
20230102000232,Y0003,80,89,73,97,1,1,1,1,B,A,85
20230102000812,N0002,76,97,90,93,1,1,1,1,B,A,97
20230102001144,L0001,82,95,74,84,1,1,1,1,A,B,95
20230102000816,N0002,72,99,72,81,1,1,1,1,A,A,80
20230102001148,L0001,82,90,90,87,1,1,1,1,A,A,80
20230102000236,Y0003,78,81,91,94,1,1,1,1,A,A,93
20230102000820,N0002,97,87,77,79,1,1,1,1,A,A,81
20230102001152,L0001,100,87,93,94,1,1,1,1,A,A,93
20230102000240,Y0003,99,83,85,86,1,1,1,1,A,A,85
20230102000824,N0002,87,89,89,84,1,1,1,1,A,A,89
20230102001156,L0001,95,93,100,80,1,1,1,1,A,A,87
20230102000828,N0002,77,81,83,88,1,1,1,1,A,A,91
20230102000244,Y0003,71,86,96,81,1,1,1,1,A,A,83
20230102001200,L0001,91,96,90,88,1,1,1,1,B,B,86
20230102000832,N0002,82,99,83,91,1,1,1,1,A,B,71
20230102000248,Y0003,73,94,73,90,1,1,1,1,A,A,82
20230102000836,N0002,99,97,75,87,1,1,1,1,A,A,83
20230102001204,L0001,90,81,95,79,1,1,1,1,A,B,69
20230102000252,Y0003,82,82,86,98,1,1,1,1,A,A,89
20230102000256,Y0003,98,98,86,82,1,1,1,1,A,B,99
20230102000300,Y0003,76,87,86,84,1,1,1,1,B,B,91
20230102000304,Y0003,84,84,89,96,1,1,1,1,A,A,99
20230102000840,N0002,89,75,84,93,1,1,1,1,A,B,93
20230102000308,Y0003,85,93,94,90,1,1,1,1,A,A,95
20230102001208,L0001,73,89,83,81,1,1,1,1,B,A,80
20230102000844,N0002,94,81,98,85,1,1,1,1,A,B,95
20230102000312,Y0003,80,88,87,91,1,1,1,1,A,A,97
20230102001212,L0001,96,87,95,86,1,1,1,1,A,A,93
20230102000316,Y0003,71,94,70,99,1,1,1,1,B,A,95
20230102000848,N0002,88,89,93,85,1,1,1,1,A,A,88
20230102001216,L0001,91,89,95,84,1,1,1,1,A,A,91
20230102000320,Y0003,86,80,82,82,1,1,1,1,B,A,93
20230102000852,N0002,87,81,96,100,1,1,1,1,A,A,81
20230102000324,Y0003,78,94,75,81,1,1,1,1,A,A,98
20230102001220,L0001,100,100,94,87,1,1,1,1,A,A,98
20230102000856,N0002,77,88,76,82,1,1,1,1,A,A,98
20230102000328,Y0003,82,89,96,70,1,1,1,1,A,A,85
20230102001224,L0001,97,80,80,84,1,1,1,1,B,A,91
20230102000900,N0002,80,88,83,96,1,1,1,1,A,B,96
20230102000332,Y0003,76,73,79,88,1,1,1,1,A,A,67
20230102001228,L0001,85,82,92,72,1,1,1,1,A,A,92
20230102000904,N0002,99,74,98,93,1,1,1,1,A,A,97
20230102000336,Y0003,90,94,96,75,1,1,1,1,A,B,94
20230102001232,L0001,87,88,91,82,1,1,1,1,B,A,82
20230102000340,Y0003,97,79,71,71,1,1,1,1,A,B,96
20230102000908,N0002,84,87,81,92,1,1,1,1,B,A,83
20230102000344,Y0003,86,93,84,89,1,1,1,1,A,B,86
20230102000348,Y0003,70,79,89,92,1,1,1,1,A,A,87
20230102001236,L0001,79,84,94,78,1,1,1,1,A,A,90
20230102000912,N0002,74,84,70,83,1,1,1,1,A,B,83
20230102000352,Y0003,91,100,96,92,1,1,1,1,A,A,99
20230102000916,N0002,90,87,91,78,1,1,1,1,A,A,93
20230102001240,L0001,89,85,99,80,1,1,1,1,B,A,81
20230102001244,L0001,93,96,79,78,1,1,1,1,B,A,85
20230102000356,Y0003,73,84,98,80,1,1,1,1,A,A,90
20230102001248,L0001,86,89,84,96,1,1,1,1,A,A,81
20230102000920,N0002,84,92,88,78,1,1,1,1,A,A,82
20230102000400,Y0003,85,89,98,84,1,1,1,1,A,B,95
20230102001252,L0001,84,88,98,98,1,1,1,1,A,A,80
20230102000924,N0002,87,91,79,85,1,1,1,1,A,B,87
20230102000404,Y0003,81,88,100,96,1,1,1,1,B,B,90
20230102001256,L0001,100,83,91,79,1,1,1,1,B,A,99
20230102000928,N0002,82,93,99,96,1,1,1,1,A,A,84
20230102000408,Y0003,73,99,89,92,1,1,1,1,A,B,85
20230102001300,L0001,96,80,80,82,1,1,1,1,A,B,76
20230102000412,Y0003,89,73,89,83,1,1,1,1,B,A,89
20230102000932,N0002,90,89,76,99,1,1,1,1,A,A,73
20230102001304,L0001,96,82,95,84,1,1,1,1,A,B,99
20230102001308,L0001,98,96,83,94,1,1,1,1,A,B,88
20230102000416,Y0003,81,97,74,70,1,1,1,1,A,A,75
20230102001312,L0001,94,92,98,94,1,1,1,1,A,A,82
20230102000936,N0002,98,81,82,87,1,1,1,1,A,A,80
20230102000420,Y0003,95,99,74,91,1,1,1,1,B,A,51
20230102001316,L0001,85,89,78,85,1,1,1,1,A,A,86
20230102000940,N0002,91,91,72,85,1,1,1,1,A,A,94
20230102000424,Y0003,97,83,92,97,1,1,1,1,A,A,96
20230102001320,L0001,84,89,81,96,1,1,1,1,A,A,86
20230102000944,N0002,87,94,85,81,1,1,1,1,A,A,68
20230102000948,N0002,80,92,81,81,1,1,1,1,A,A,80
20230102000428,Y0003,87,74,94,91,1,1,1,1,A,B,81
20230102000952,N0002,84,99,100,74,1,1,1,1,A,A,86
20230102001324,L0001,96,91,90,86,1,1,1,1,A,A,82
20230102000432,Y0003,98,85,74,89,1,1,1,1,B,A,76
20230102001328,L0001,99,88,93,74,1,1,1,1,B,A,83
20230102000436,Y0003,89,87,87,88,1,1,1,1,B,A,84
20230102000956,N0002,71,77,84,95,1,1,1,1,B,B,87
20230102001332,L0001,92,87,92,82,1,1,1,1,B,B,91
20230102000440,Y0003,80,96,71,80,1,1,1,1,A,A,90
