Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20230201000138,R0003,0,2,L3,L,118,F06
20230201000140,J0001,0,0,R3,R,169,F07
20230201000140,I0002,0,0,F,N,45,D04
20230201000140,R0003,3,0,F,N,133,F04
20230201000142,J0001,2,0,F,N,179,F05
20230201000142,I0002,4,0,F,N,65,D07
20230201000142,R0003,1,0,F,N,138,F06
20230201000144,J0001,1,0,R1,R,184,F04
20230201000144,I0002,4,0,F,N,85,D04
20230201000144,R0003,0,1,R1,R,128,F05
20230201000146,J0001,0,2,L3,L,164,F05
20230201000146,I0002,1,0,F,N,90,D01
20230201000146,R0003,4,0,F,N,44,F07
20230201000148,J0001,5,0,F,N,189,F08
20230201000148,I0002,0,3,L1,L,60,D08
20230201000148,R0003,1,0,R1,R,49,F01
20230201000150,J0001,3,0,L2,L,204,F03
20230201000150,I0002,3,0,R2,R,75,D10
20230201000150,R0003,1,0,F,N,54,F02
20230201000152,J0001,1,0,F,N,209,F03
20230201000152,I0002,0,0,R3,R,75,D08
20230201000152,R0003,0,1,L3,L,44,F01
20230201000154,J0001,1,0,F,N,214,F07
20230201000154,I0002,3,0,F,N,90,D02
20230201000154,R0003,5,0,F,N,69,F10
20230201000156,J0001,1,0,F,N,219,F01
20230201000156,I0002,1,0,R1,R,95,D06
20230201000156,R0003,3,0,F,N,84,F06
20230201000158,J0001,0,0,R2,R,219,F09
20230201000158,I0002,0,1,F,N,18,D05
20230201000158,R0003,1,0,R3,R,89,F09
20230201000200,J0001,2,0,F,N,229,F05
20230201000200,I0002,1,0,F,N,23,D10
20230201000200,R0003,3,0,F,N,104,F07
20230201000202,J0001,3,0,F,N,244,F04
20230201000202,I0002,0,1,F,N,13,D02
20230201000202,R0003,3,0,F,N,119,F02
20230201000204,J0001,0,1,F,N,234,F02
20230201000204,I0002,0,1,F,N,3,D03
20230201000204,R0003,3,0,R2,R,134,F10
20230201000206,J0001,4,0,F,N,250,F10
20230201000206,I0002,1,0,R2,R,8,D02
20230201000206,R0003,1,0,F,N,139,F01
20230201000208,J0001,0,1,F,N,65,F07
20230201000208,I0002,2,0,F,N,18,D09
20230201000208,R0003,4,0,F,N,159,F03
20230201000210,J0001,3,0,F,N,24,F02
20230201000210,I0002,0,2,F,N,0,D01
20230201000210,R0003,1,0,R3,R,164,F08
20230201000212,J0001,1,0,R2,R,29,F08
20230201000212,I0002,0,2,F,N,0,D08
20230201000212,R0003,0,1,F,N,154,F03
20230201000214,J0001,1,0,F,N,34,F04
20230201000214,I0002,1,0,F,N,5,D06
20230201000214,R0003,0,2,R1,R,26,F02
20230201000216,J0001,1,0,F,N,39,F04
20230201000216,I0002,3,0,F,N,20,D06
20230201000216,R0003,1,0,F,N,31,F06
20230201000218,J0001,1,0,F,N,44,F10
20230201000218,I0002,1,0,F,N,25,D02
20230201000218,R0003,0,0,R2,R,31,F01
20230201000220,J0001,5,0,F,N,69,F03
20230201000220,I0002,1,0,F,N,9,D08
20230201000220,R0003,5,0,F,N,56,F09
20230201000222,J0001,1,0,F,N,74,F01
20230201000222,I0002,1,0,F,N,14,D04
20230201000222,R0003,2,0,F,N,19,F08
20230201000224,J0001,3,0,F,N,26,F05
20230201000224,I0002,0,1,F,N,4,D06
20230201000224,R0003,3,0,F,N,34,F05
20230201000226,J0001,3,0,R3,R,41,F09
20230201000226,I0002,0,1,F,N,0,D01
20230201000226,R0003,0,0,F,N,34,F08
20230201000228,J0001,4,0,F,N,61,F04
20230201000228,I0002,1,0,F,N,5,D09
20230201000228,R0003,0,0,F,N,34,F02
20230201000230,J0001,0,1,F,N,51,F01
20230201000230,I0002,3,0,R2,R,20,D01
20230201000230,R0003,1,0,F,N,39,F05
20230201000232,J0001,0,1,F,N,41,F10
20230201000232,I0002,2,0,F,N,30,D10
20230201000232,R0003,2,0,F,N,49,F05
20230201000234,J0001,0,2,F,N,21,F03
20230201000234,I0002,3,0,F,N,45,D02
20230201000234,R0003,2,0,F,N,59,F09
20230201000236,J0001,1,0,F,N,26,F05
20230201000236,I0002,1,0,F,N,50,D01
20230201000236,R0003,1,0,L1,L,64,F10
20230201000238,I0002,0,0,F,N,50,D06
20230201000238,J0001,3,0,F,N,41,F06
20230201000238,R0003,2,0,F,N,74,F03
20230201000240,I0002,0,1,F,N,40,D06
20230201000240,J0001,0,0,F,N,41,F05
20230201000240,R0003,0,0,F,N,74,F04
20230201000242,J0001,0,3,F,N,11,F02
20230201000242,I0002,0,1,L2,L,30,D09
20230201000242,R0003,1,0,F,N,79,F06
20230201000244,I0002,1,0,R2,R,35,D05
20230201000244,J0001,2,0,R2,R,21,F02
20230201000244,R0003,0,1,F,N,69,F06
20230201000246,I0002,3,0,F,N,50,D04
20230201000246,J0001,0,1,F,N,11,F01
20230201000246,R0003,0,1,F,N,59,F07
20230201000248,J0001,0,3,F,N,0,F02
20230201000248,I0002,3,0,F,N,65,D08
20230201000248,R0003,0,2,L2,L,39,F01
20230201000250,J0001,0,2,F,N,0,F06
20230201000250,I0002,0,0,F,N,65,D07
20230201000250,R0003,0,1,F,N,1,F09
20230201000252,I0002,4,0,F,N,85,D10
20230201000252,J0001,3,0,L3,L,15,F08
20230201000252,R0003,3,0,F,N,16,F01
20230201000254,J0001,1,0,F,N,20,F03
20230201000254,I0002,0,1,F,N,75,D02
20230201000254,R0003,0,1,L2,L,0,F06
20230201000256,I0002,1,0,F,N,24,D03
20230201000256,J0001,0,0,F,N,20,F04
20230201000256,R0003,1,0,F,N,5,F05
20230201000258,I0002,5,0,F,N,14,D08
20230201000258,J0001,3,0,F,N,35,F02
20230201000258,R0003,1,0,F,N,10,F06
20230201000300,I0002,0,1,F,N,4,D01
20230201000300,J0001,1,0,F,N,40,F04
20230201000300,R0003,1,0,F,N,15,F07
20230201000302,J0001,1,0,L3,L,45,F07
20230201000302,I0002,0,1,F,N,0,D05
20230201000302,R0003,3,0,F,N,30,F01
20230201000304,I0002,2,0,F,N,10,D09
20230201000304,J0001,1,0,F,N,50,F02
20230201000304,R0003,1,0,F,N,35,F02
20230201000306,I0002,5,0,F,N,35,D01
20230201000306,J0001,1,0,R3,R,55,F08
20230201000306,R0003,0,1,F,N,25,F03
20230201000308,I0002,3,0,R2,R,50,D01
20230201000308,J0001,3,0,L2,L,70,F08
20230201000308,R0003,1,0,F,N,30,F09
20230201000310,J0001,1,0,R2,R,75,F10
20230201000310,I0002,0,0,F,N,50,D07
20230201000310,R0003,1,0,R1,R,35,F02
20230201000312,J0001,0,0,R3,R,75,F01
20230201000312,I0002,1,0,F,N,55,D03
20230201000312,R0003,0,3,F,N,5,F02
20230201000314,J0001,0,2,F,N,55,F10
20230201000314,I0002,5,0,F,N,80,D10
20230201000314,R0003,0,1,L2,L,0,F04
20230201000316,J0001,3,0,F,N,21,F04
20230201000316,I0002,0,0,R1,R,80,D01
20230201000316,R0003,1,0,F,N,1,F04
